q_BSC,c_BSC,q_Nusinersen,c_Nusinersen,q_OA,c_OA,q_Risdiplam,c_Risdiplam
0.5251449953823522,1241458.7971184326,2.1236172855191446,4695965.482518832,7.4145242513117005,4737836.71931039,6.6126963835245185,8530310.76680765
0.7928453396090431,2201528.529566132,2.4742933197215056,4931762.953394941,8.32655406230141,4892518.029853646,7.413998676191111,7771257.704067326
0.6346366130210614,1762161.743652642,1.2447807829603768,3546868.4586723964,7.480819012992098,4730194.593847341,7.27239960730277,8372569.442507489
0.6814569484923494,1600551.0372026332,2.13704018270849,4372333.463357717,7.834312627916303,4633890.174981868,7.562513105695923,8583394.009634785
0.6371925266113307,1520351.4137111944,1.9446889683469546,4258794.797836521,7.784406575294025,4504197.980562937,7.033284420186757,7611355.607736609
0.7537555049714048,2440076.0550547075,1.5492077945334484,4480783.3495564265,7.7735266949607364,5680605.218755024,5.844222275336033,7564171.731910374
0.3967867565017458,831009.9154717033,1.6700807007589331,4151633.4105895436,5.879834676641943,4671613.781861863,4.978275907928558,6961603.530033664
0.7444203472762834,1866591.9167151658,1.7746208836381758,4108557.019677354,7.896642471859301,4706112.241343223,6.140417588149676,7014446.638651031
0.7669939899088778,2466726.3543787934,3.105007629797073,6593969.880408255,7.5286101168627635,5012053.26770093,6.939059356339055,8501820.776669897
0.5577110265138079,1322184.969772187,1.9887617379911697,4110691.452535459,8.505423178420337,4805113.936166323,6.459634560446034,6779121.496525124
0.3598173816578536,747191.0610304006,1.7746462340378595,3897491.5151266176,6.7583740332770725,5040009.681424274,6.58425863697362,7339296.996354657
0.5438335968977387,1135285.3866204205,3.9235691673499846,5400828.603701439,9.686105393669619,4673048.410596007,8.427045396246106,7099710.914972676
0.529231674429218,1173376.9803083907,2.608701232184936,4884533.085334833,7.772929310634996,4860385.873204928,5.980575213483451,6584970.952554154
0.783991108614202,2020962.3553828187,2.960989405182414,5845552.190488864,6.211857524915006,5022514.202040234,6.32992188606533,7387875.243853874
0.7100409239873162,1950742.6209722024,1.9202162074408224,4608666.775198609,6.536862260463368,5028802.692824199,5.163967761535008,6811305.476342735
